track_name,center_x,center_y,inner_x,inner_y,outer_x,outer_y,optimal_x,optimal_y
Aragon,5.691117525100708,-3.4853140115737915,5.695765018463135,-2.9519340991973877,5.686470031738281,-4.018693923950195,5.618344359099865,-3.4846799466758966
Aragon,5.540876150131226,-3.4840049743652344,5.545523166656494,-2.950624942779541,5.536229133605957,-4.017385005950928,5.540876150131226,-3.4840049743652344
Aragon,5.390634536743164,-3.4826955795288086,5.3952860832214355,-2.9493160247802734,5.385982990264893,-4.016075134277344,5.390634536743164,-3.4826955795288086
Aragon,5.240392446517944,-3.4813843965530396,5.245048999786377,-2.948004961013794,5.235735893249512,-4.014763832092285,5.240392446517944,-3.4813843965530396
Aragon,5.090150833129883,-3.480072498321533,5.094812870025635,-2.946692943572998,5.085488796234131,-4.013452053070068,5.090150833129883,-3.480072498321533
Aragon,4.9399094581604,-3.478758454322815,4.944575786590576,-2.9453790187835693,4.935243129730225,-4.0121378898620605,4.9399094581604,-3.478758454322815
Aragon,4.78966760635376,-3.4774433374404907,4.794339179992676,-2.944063901901245,4.784996032714844,-4.010822772979736,4.78966760635376,-3.4774433374404907
Aragon,4.6394264698028564,-3.4761266708374023,4.644103050231934,-2.942747116088867,4.634749889373779,-4.0095062255859375,4.6394264698028564,-3.4761266708374023
Aragon,4.489184379577637,-3.4748083353042603,4.493865966796875,-2.9414288997650146,4.484502792358398,-4.008187770843506,4.489184379577637,-3.4748083353042603
Aragon,4.338942527770996,-3.4734894037246704,4.343628883361816,-2.940109968185425,4.334256172180176,-4.006868839263916,4.338942527770996,-3.4734894037246704
Aragon,4.188701391220093,-3.472169518470764,4.19337797164917,-2.9387900829315186,4.184024810791016,-4.00554895401001,4.188701391220093,-3.472169518470764
Aragon,4.038459539413452,-3.4708566665649414,4.043107032775879,-2.9374771118164062,4.033812046051025,-4.004236221313477,4.038459539413452,-3.4708566665649414
Aragon,3.88821804523468,-3.4695510864257812,3.892836093902588,-2.936171054840088,3.8835999965667725,-4.002931118011475,3.88821804523468,-3.4695510864257812
Aragon,3.7379759550094604,-3.468254566192627,3.7425649166107178,-2.9348740577697754,3.733386993408203,-4.0016350746154785,3.7379759550094604,-3.468254566192627
Aragon,3.5877349376678467,-3.4669665098190308,3.592294931411743,-2.9335858821868896,3.58317494392395,-4.000347137451172,3.5877349376678467,-3.4669665098190308
Aragon,3.4374929666519165,-3.465686082839966,3.442023992538452,-2.932305097579956,3.432961940765381,-3.9990670680999756,3.4374929666519165,-3.465686082839966
Aragon,3.2872509956359863,-3.4644140005111694,3.291753053665161,-2.93103289604187,3.2827489376068115,-3.9977951049804688,3.2872509956359863,-3.4644140005111694
Aragon,3.137009024620056,-3.4631495475769043,3.14148211479187,-2.9297680854797363,3.132535934448242,-3.9965310096740723,3.137009024620056,-3.4631495475769043
Aragon,2.986767053604126,-3.4618935585021973,2.991225004196167,-2.9285120964050293,2.982309103012085,-3.9952750205993652,2.986767053604126,-3.4618935585021973
Aragon,2.836525559425354,-3.460613965988159,2.8411550521850586,-2.927233934402466,2.8318960666656494,-3.9939939975738525,2.836525559425354,-3.460613965988159
Aragon,2.686283588409424,-3.4592854976654053,2.69108510017395,-2.9259068965911865,2.6814820766448975,-3.992664098739624,2.686283588409424,-3.4592854976654053
Aragon,2.53604257106781,-3.457908511161804,2.5410161018371564,-2.924531936645508,2.531069040298462,-3.9912850856781006,2.536042571067809,-3.457908511161804
Aragon,2.3858014345169045,-3.4564836025238037,2.3909459114074725,-2.9231081008911133,2.3806569576263428,-3.989859104156494,2.3858014345169076,-3.4564836025238037
Aragon,2.235560417175293,-3.4550105333328247,2.2408769130706765,-2.9216370582580566,2.2302439212799072,-3.9883840084075928,2.235560417175292,-3.4550105333328247
Aragon,2.0853199958801247,-3.4534884691238403,2.0908079147338867,-2.920116901397705,2.079832077026367,-3.9868600368499756,2.085319721569885,-3.4535281915677745
Aragon,1.9350790381431568,-3.4519180059432983,1.9407390356063834,-2.918548107147217,1.9294190406799316,-3.98528790473938,1.9350782822471766,-3.452168103128356
Aragon,1.7848390340805032,-3.4503015279769897,1.7905570268631,-2.9169321060180664,1.7791210412979126,-3.983670949935913,1.7848362667174391,-3.450937740605422
Aragon,1.6345980167388903,-3.4488364458084106,1.6392810344696045,-2.915457010269165,1.6299149990081787,-3.9822158813476562,1.63464996148495,-3.4497263061097447
Aragon,1.4843560457229614,-3.447663426399231,1.4880050420761095,-2.914275884628296,1.480707049369812,-3.981050968170166,1.4848543950156814,-3.4477208316667083
Aragon,1.334112524986267,-3.446780562400818,1.3367270231246948,-2.9133870601654053,1.3314980268478394,-3.9801740646362305,1.3357308093157694,-3.4441844176985725
Aragon,1.1838675141334534,-3.4461899995803833,1.1854480504989624,-2.9127919673919678,1.1822869777679443,-3.979588031768799,1.1876091873966357,-3.438377435613897
Aragon,1.0336215496063232,-3.4458905458450317,1.0341670513153076,-2.9124910831451416,1.0330760478973389,-3.979290008544922,1.0408541096765445,-3.429558488108147
Aragon,0.8833742141723633,-3.4458824396133423,0.8828855156898499,-2.912482976913452,0.8838629126548767,-3.9792819023132324,0.8958408610212063,-3.4170339405308807
Aragon,0.7331256568431854,-3.446165919303894,0.7316026091575623,-2.9127678871154785,0.7346487045288086,-3.9795639514923096,0.7529587660082384,-3.4001486785341237
Aragon,0.582878589630127,-3.4460949897766113,0.5861485004425049,-2.9127049446105957,0.579608678817749,-3.979485034942627,0.6126128645405243,-3.3782815156371404
